date_announcement,rate,is_scheduled,rate_change,date_effective
2018-04-18 10:00:00-04:00,1.25,True,0.0,2018-04-18
2018-05-30 10:00:00-04:00,1.25,True,0.0,2018-05-30
2018-07-11 10:00:00-04:00,1.5,True,0.25,2018-07-11
2018-09-05 10:00:00-04:00,1.5,True,0.0,2018-09-05
2018-10-24 10:00:00-04:00,1.75,True,0.25,2018-10-24
2018-12-05 10:00:00-05:00,1.75,True,0.0,2018-12-05
2019-01-09 10:00:00-05:00,1.75,True,0.0,2019-01-09
2019-03-06 10:00:00-05:00,1.75,True,0.0,2019-03-06
2019-04-24 10:00:00-04:00,1.75,True,0.0,2019-04-24
2019-05-29 10:00:00-04:00,1.75,True,0.0,2019-05-29
2019-07-10 10:00:00-04:00,1.75,True,0.0,2019-07-10
2019-09-04 10:00:00-04:00,1.75,True,0.0,2019-09-04
2019-10-30 10:00:00-04:00,1.75,True,0.0,2019-10-30
2019-12-04 10:00:00-05:00,1.75,True,0.0,2019-12-04
2020-01-22 10:00:00-05:00,1.75,True,0.0,2020-01-22
2020-03-04 10:00:00-05:00,1.25,True,-0.5,2020-03-04
2020-03-13 10:00:00-04:00,0.75,False,-0.5,2020-03-16
2020-03-27 10:00:00-04:00,0.25,False,-0.5,2020-03-27
2020-04-15 10:00:00-04:00,0.25,True,0.0,2020-04-15
2020-06-03 10:00:00-04:00,0.25,True,0.0,2020-06-03
2020-07-15 10:00:00-04:00,0.25,True,0.0,2020-07-15
2020-09-09 10:00:00-04:00,0.25,True,0.0,2020-09-09
2020-10-28 10:00:00-04:00,0.25,True,0.0,2020-10-28
2020-12-09 10:00:00-05:00,0.25,True,0.0,2020-12-09
2021-01-20 10:00:00-05:00,0.25,True,0.0,2021-01-21
2021-03-10 10:00:00-05:00,0.25,True,0.0,2021-03-11
2021-04-21 10:00:00-04:00,0.25,True,0.0,2021-04-22
2021-06-09 10:00:00-04:00,0.25,True,0.0,2021-06-10
2021-07-14 10:00:00-04:00,0.25,True,0.0,2021-07-15
2021-09-08 10:00:00-04:00,0.25,True,0.0,2021-09-09
2021-10-27 10:00:00-04:00,0.25,True,0.0,2021-10-28
2021-12-08 10:00:00-05:00,0.25,True,0.0,2021-12-09
2022-01-26 10:00:00-05:00,0.25,True,0.0,2022-01-27
2022-03-02 10:00:00-05:00,0.5,True,0.25,2022-03-03
2022-04-13 10:00:00-04:00,1.0,True,0.5,2022-04-14
2022-06-01 10:00:00-04:00,1.5,True,0.5,2022-06-02
2022-07-13 10:00:00-04:00,2.5,True,1.0,2022-07-14
2022-09-07 10:00:00-04:00,3.25,True,0.75,2022-09-08
2022-10-26 10:00:00-04:00,3.75,True,0.5,2022-10-27
2022-12-07 10:00:00-05:00,4.25,True,0.5,2022-12-08
2023-01-25 10:00:00-05:00,4.5,True,0.25,2023-01-26
2023-03-08 10:00:00-05:00,4.5,True,0.0,2023-03-09
2023-04-12 10:00:00-04:00,4.5,True,0.0,2023-04-13
2023-06-07 10:00:00-04:00,4.75,True,0.25,2023-06-08
2023-07-12 10:00:00-04:00,5.0,True,0.25,2023-07-13
2023-09-06 10:00:00-04:00,5.0,True,0.0,2023-09-07
2023-10-25 10:00:00-04:00,5.0,True,0.0,2023-10-26
2023-12-06 10:00:00-05:00,5.0,True,0.0,2023-12-07
