date_meeting,date_announcement,is_scheduled,rate,rate_change,date_effective,comments
2014-11-05,2014-11-06,True,0.5,0,2014-11-06,
2014-12-03,2014-12-04,True,0.5,0,2014-12-04,
2015-01-07,2015-01-08,True,0.5,0,2015-01-08,
2015-02-04,2015-02-05,True,0.5,0,2015-02-05,
2015-03-04,2015-03-05,True,0.5,0,2015-03-05,
2015-04-08,2015-04-09,True,0.5,0,2015-04-09,
2015-05-10,2015-05-11,True,0.5,0,2015-05-11,
2015-06-03,2015-06-04,True,0.5,0,2015-06-04,
2015-07-08,2015-07-09,True,0.5,0,2015-07-09,
2015-08-05,2015-08-06,True,0.5,0,2015-08-06,
2015-09-09,2015-09-10,True,0.5,0,2015-09-10,
2015-10-07,2015-10-08,True,0.5,0,2015-10-08,
2015-11-04,2015-11-05,True,0.5,0,2015-11-05,
2015-12-09,2015-12-10,True,0.5,0,2015-12-10,
2016-01-13,2016-01-14,True,0.5,0,2016-01-14,
2016-02-03,2016-02-04,True,0.5,0,2016-02-04,
2016-03-16,2016-03-17,True,0.5,0,2016-03-17,
2016-04-13,2016-04-14,True,0.5,0,2016-04-14,
2016-05-11,2016-05-12,True,0.5,0,2016-05-12,
2016-06-15,2016-06-16,True,0.5,0,2016-06-16,
2016-07-13,2016-07-14,True,0.5,0,2016-07-14,
2016-08-03,2016-08-04,True,0.25,-0.25,2016-08-04,
2016-09-14,2016-09-15,True,0.25,0,2016-09-15,
2016-11-02,2016-11-03,True,0.25,0,2016-11-03,
2016-12-14,2016-12-15,True,0.25,0,2016-12-15,
2017-02-01,2017-02-02,True,0.25,0,2017-02-02,
2017-03-15,2017-03-16,True,0.25,0,2017-03-16,
2017-05-10,2017-05-11,True,0.25,0,2017-05-11,
2017-06-14,2017-06-15,True,0.25,0,2017-06-15,
2017-08-02,2017-08-03,True,0.25,0,2017-08-03,
2017-09-13,2017-09-14,True,0.25,0,2017-09-14,
2017-11-01,2017-11-02,True,0.5,0.25,2017-11-02,
2017-12-13,2017-12-14,True,0.5,0,2017-12-14,
2018-02-07,2018-02-08,True,0.5,0,2018-02-08,
2018-03-21,2018-03-22,True,0.5,0,2018-03-22,
2018-05-09,2018-05-10,True,0.5,0,2018-05-10,
2018-06-20,2018-06-21,True,0.5,0,2018-06-21,
2018-08-01,2018-08-02,True,0.75,0.25,2018-08-02,
2018-09-12,2018-09-13,True,0.75,0,2018-09-13,
2018-10-31,2018-11-01,True,0.75,0,2018-11-01,
2018-12-19,2018-12-20,True,0.75,0,2018-12-20,
2019-02-06,2019-02-07,True,0.75,0,2019-02-07,
2019-03-20,2019-03-21,True,0.75,0,2019-03-21,
2019-05-01,2019-05-02,True,0.75,0,2019-05-02,
2019-06-19,2019-06-20,True,0.75,0,2019-06-20,
2019-07-31,2019-08-01,True,0.75,0,2019-08-01,
2019-09-18,2019-09-19,True,0.75,0,2019-09-19,
2019-11-06,2019-11-07,True,0.75,0,,
2019-12-18,2019-12-19,True,0.75,0,,
2020-01-29,2020-01-30,True,0.75,0,,
2020-03-10,2020-03-11,False,0.25,-0.5,,
2020-03-19,2020-03-19,False,0.1,-0.15,,
2020-03-25,2020-03-26,True,0.1,0,,
2020-05-06,2020-05-07,True,0.1,0,,
2020-06-17,2020-06-18,True,0.1,0,,
2020-08-05,2020-08-06,True,0.1,0,,
2020-09-16,2020-09-17,True,0.1,0,,
2020-11-04,2020-11-05,True,0.1,0,,
2020-12-16,2020-12-17,True,0.1,0,,
2021-02-03,2021-02-04,True,0.1,0,,
2021-03-17,2021-03-18,True,0.1,0,,
2021-05-05,2021-05-06,True,0.1,0,,
2021-06-23,2021-06-24,True,0.1,0,,
2021-08-04,2021-08-05,True,0.1,0,,
2021-09-22,2021-09-23,True,0.1,0,,
2021-11-03,2021-11-04,True,0.1,0,,
2021-12-15,2021-12-16,True,0.25,0.15,,
2022-02-02,2022-02-03,True,0.5,0.25,,
2022-03-16,2022-03-17,True,0.75,0.25,,
2022-05-04,2022-05-05,True,1,0.25,,
2022-06-15,2022-06-16,True,1.25,0.25,,
2022-08-03,2022-08-04,True,1.75,0.5,,
2022-09-21,2022-09-22,True,2.25,0.5,,"initially scheduled on sep 15, postponed bc of mourning"
2022-11-02,2022-11-03,True,3,0.75,,
2022-12-14,2022-12-15,True,3.5,0.5,,
2023-02-01,2023-02-02,True,4,0.5,,
2023-03-22,2023-03-23,True,4.25,0.25,,
2023-05-10,2023-05-11,True,4.5,0.25,,
2023-06-21,2023-06-22,True,5,0.5,,
2023-08-02,2023-08-03,True,5.25,0.25,,
2023-09-20,2023-09-21,True,5.25,0,,
2023-11-01,2023-11-02,True,5.25,0,,
2023-12-13,2023-12-14,True,5.25,0,,
