date_meeting,date_announcement,rate,is_scheduled,rate_change,date_effective,comments
2000-03-07,2000-03-08 09:30:00+11:00,5.5,True,0.0,2000-03-08,
2000-04-04,2000-04-05 09:30:00+10:00,5.75,True,0.25,2000-04-05,
2000-05-02,2000-05-03 09:30:00+10:00,6.0,True,0.25,2000-05-03,
2000-06-06,2000-06-07 09:30:00+10:00,6.0,True,0.0,2000-06-07,
2000-07-04,2000-07-05 09:30:00+10:00,6.0,True,0.0,2000-07-05,
2000-08-01,2000-08-02 09:30:00+10:00,6.25,True,0.25,2000-08-02,
2000-09-05,2000-09-06 09:30:00+11:00,6.25,True,0.0,2000-09-06,
2000-10-03,2000-10-04 09:30:00+11:00,6.25,True,0.0,2000-10-04,
2000-11-07,2000-11-08 09:30:00+11:00,6.25,True,0.0,2000-11-08,
2000-12-05,2000-12-06 09:30:00+11:00,6.25,True,0.0,2000-12-06,
2001-02-06,2001-02-07 09:30:00+11:00,5.75,True,-0.5,2001-02-07,
2001-03-06,2001-03-07 09:30:00+11:00,5.5,True,-0.25,2001-03-07,
2001-04-03,2001-04-04 09:30:00+10:00,5.0,True,-0.5,2001-04-04,
2001-05-01,2001-05-02 09:30:00+10:00,5.0,True,0.0,2001-05-02,
2001-06-05,2001-06-06 09:30:00+10:00,5.0,True,0.0,2001-06-06,
2001-07-03,2001-07-04 09:30:00+10:00,5.0,True,0.0,2001-07-04,
2001-08-07,2001-08-08 09:30:00+10:00,5.0,True,0.0,2001-08-08,
2001-09-04,2001-09-05 09:30:00+10:00,4.75,True,-0.25,2001-09-05,
2001-10-02,2001-10-03 09:30:00+10:00,4.5,True,-0.25,2001-10-03,
2001-11-06,2001-11-07 09:30:00+11:00,4.5,True,0.0,2001-11-07,
2001-12-04,2001-12-05 09:30:00+11:00,4.25,True,-0.25,2001-12-05,
2002-02-05,2002-02-06 09:30:00+11:00,4.25,True,0.0,2002-02-06,
2002-03-05,2002-03-06 09:30:00+11:00,4.25,True,0.0,2002-03-06,
2002-04-02,2002-04-03 09:30:00+10:00,4.25,True,0.0,2002-04-03,
2002-05-07,2002-05-08 09:30:00+10:00,4.5,True,0.25,2002-05-08,
2002-06-04,2002-06-05 09:30:00+10:00,4.75,True,0.25,2002-06-05,
2002-07-02,2002-07-03 09:30:00+10:00,4.75,True,0.0,2002-07-03,
2002-08-06,2002-08-07 09:30:00+10:00,4.75,True,0.0,2002-08-07,
2002-09-03,2002-09-04 09:30:00+10:00,4.75,True,0.0,2002-09-04,
2002-10-01,2002-10-02 09:30:00+10:00,4.75,True,0.0,2002-10-02,
