date_meeting,date_announcement,rate,is_scheduled,rate_change,date_effective,comments
2019-06-04,2019-06-04 14:30:00+10:00,1.25,True,-0.25,2019-06-05,
2019-07-02,2019-07-02 14:30:00+10:00,1.0,True,-0.25,2019-07-03,
2019-08-06,2019-08-06 14:30:00+10:00,1.0,True,0.0,2019-08-07,
2019-09-03,2019-09-03 14:30:00+10:00,1.0,True,0.0,2019-09-04,
2019-10-01,2019-10-01 14:30:00+10:00,0.75,True,-0.25,2019-10-02,
2019-11-05,2019-11-05 14:30:00+11:00,0.75,True,0.0,2019-11-06,
2019-12-03,2019-12-03 14:30:00+11:00,0.75,True,0.0,2019-12-04,
2020-02-04,2020-02-04 14:30:00+11:00,0.75,True,0.0,2020-02-05,
2020-03-03,2020-03-03 14:30:00+11:00,0.5,True,-0.25,2020-03-04,
2020-03-18,2020-03-18 14:30:00+11:00,0.25,False,-0.25,2020-03-19,
2020-04-07,2020-04-07 14:30:00+10:00,0.25,True,0.0,2020-04-08,
2020-05-05,2020-05-05 14:30:00+10:00,0.25,True,0.0,2020-05-06,
2020-06-02,2020-06-02 14:30:00+10:00,0.25,True,0.0,2020-06-03,
2020-07-07,2020-07-07 14:30:00+10:00,0.25,True,0.0,2020-07-08,
2020-08-04,2020-08-04 14:30:00+10:00,0.25,True,0.0,2020-08-05,
2020-09-01,2020-09-01 14:30:00+10:00,0.25,True,0.0,2020-09-02,
2020-10-06,2020-10-06 14:30:00+11:00,0.25,True,0.0,2020-10-07,
2020-11-03,2020-11-03 14:30:00+11:00,0.1,True,-0.15,2020-11-04,
2020-12-01,2020-12-01 14:30:00+11:00,0.1,True,0.0,2020-12-02,
2021-02-02,2021-02-02 14:30:00+11:00,0.1,True,0.0,2021-02-03,
2021-03-02,2021-03-02 14:30:00+11:00,0.1,True,0.0,2021-03-03,
2021-04-06,2021-04-06 14:30:00+10:00,0.1,True,0.0,2021-04-07,
2021-05-04,2021-05-04 14:30:00+10:00,0.1,True,0.0,2021-05-05,
2021-06-01,2021-06-01 14:30:00+10:00,0.1,True,0.0,2021-06-02,
2021-07-06,2021-07-06 14:30:00+10:00,0.1,True,0.0,2021-07-07,
2021-08-03,2021-08-03 14:30:00+10:00,0.1,True,0.0,2021-08-04,
2021-09-07,2021-09-07 14:30:00+10:00,0.1,True,0.0,2021-09-08,
2021-10-05,2021-10-05 14:30:00+11:00,0.1,True,0.0,2021-10-06,
2021-11-02,2021-11-02 14:30:00+11:00,0.1,True,0.0,2021-11-03,
2021-12-07,2021-12-07 14:30:00+11:00,0.1,True,0.0,2021-12-08,
2022-02-01,2022-02-01 14:30:00+11:00,0.1,True,0.0,2022-02-02,
2022-03-01,2022-03-01 14:30:00+11:00,0.1,True,0.0,2022-03-02,
2022-04-05,2022-04-05 14:30:00+10:00,0.1,True,0.0,2022-04-06,
2022-05-03,2022-05-03 14:30:00+10:00,0.35,True,0.2499999999999999,2022-05-04,
2022-06-07,2022-06-07 14:30:00+10:00,0.85,True,0.5,2022-06-08,
2022-07-05,2022-07-05 14:30:00+10:00,1.35,True,0.5000000000000001,2022-07-06,
2022-08-02,2022-08-02 14:30:00+10:00,1.85,True,0.5,2022-08-03,
2022-09-06,2022-09-06 14:30:00+10:00,2.35,True,0.5,2022-09-07,
2022-10-04,2022-10-04 14:30:00+11:00,2.6,True,0.25,2022-10-05,
2022-11-01,2022-11-01 14:30:00+11:00,2.85,True,0.25,2022-11-02,
2022-12-06,2022-12-06 14:30:00+11:00,3.1,True,0.25,2022-12-07,
2023-02-07,2023-02-07 14:30:00+11:00,3.35,True,0.25,2023-02-08,
2023-03-07,2023-03-07 14:30:00+11:00,3.6,True,0.25,2023-03-08,
2023-04-04,2023-04-04 14:30:00+10:00,3.6,True,0.0,2023-04-05,
2023-05-02,2023-05-02 14:30:00+10:00,3.85,True,0.25,2023-05-03,
2023-06-06,2023-06-06 14:30:00+10:00,4.1,True,0.2499999999999995,2023-06-07,
2023-07-04,2023-07-04 14:30:00+10:00,4.1,True,0.0,2023-07-05,
2023-08-01,2023-08-01 14:30:00+10:00,4.1,True,0.0,2023-08-02,
2023-09-05,2023-09-05 14:30:00+10:00,4.1,True,0.0,2023-09-06,
2023-10-03,2023-10-03 14:30:00+11:00,4.1,True,0.0,2023-10-04,
2023-11-07,2023-11-07 14:30:00+11:00,4.35,True,0.25,2023-11-08,
2023-12-05,2023-12-05 14:30:00+11:00,4.35,True,0.0,2023-12-06,
